Acrostiche ; Un acrostiche est un poème ou une strophe dont les premières lettres de chaque vers forment un mot.
Manneken-Pis ; Manneken-Pis est une fontaine emblématique à Bruxelles sous la forme d’un petit garçon qui pisse. D’après la légende, un petit garçon aurait sauvé Bruxelles en urinant sur la mèche du canon de l’ennemi qui assiégeait la ville.
Mao Zedong ; Mao Zedong (appelé le Grand Timonier) participe à la fondation du parti communiste en Chine en 1921, mais considère qu’en Chine, le vrai prolétariat est constitué non par les ouvriers, mais par les paysans. Une offensive des républicains chinois les oblige, en 1934, à fuir vers le nord. C’est le début de la Longue Marche, longue de 12000km, pendant laquelle les communistes dirigés par Mao marche vers le nord (traqués par les républicains et parfois mitraillés par avion) dans le but de combattre les Japonais et de rallier les patriotes chinois à leur cause. A la suite de cette Longue Marche, assuré d’une autorité sans faille sur ses troupes, Mao introduit la révolution dans les campagnes, par le partage des terres et le massacre des mécontents. En 1949, il proclame la République populaire de Chine.
Mécanique quantique ; En mécanique quantique, les particules ont des propriétés que les objets dits normaux n’ont pas : elles peuvent être à plusieurs endroits à la fois (principe de superposition) et peuvent passer par plusieurs endroits à la fois. De plus, les objets sont souvent à la fois des ondes et des particules (exemple : le photon ou l’électron). Or, lorsqu’une onde se heurte à un obstacle, une petite partie passe (exemple des ondes sonores). Une conséquence de cette dualité onde-corpuscule est l’effet tunnel. Il arrive parfois qu’une particule passe à travers un obstacle comme si un tunnel s’était ouvert juste pour elle. Cela est responsable de la radioactivité alpha : le noyau d’un atome est en effet un ensemble de neutrons et de protons maintenus entre eux par la force de cohésion forte. De temps en temps un groupe de particules parvient à s’en échapper, ce qui correspond à la désintégration du noyau et donc à la radioactivité avec émission de particules. 
Météorologie ; La première diffusion d'un bulletin météorologique à la télévision française remonte à décembre 1946, dans l’émission du Téléjournal. 
Métro parisien ; Le métro parisien est inauguré en 1900 à l’occasion de l’Exposition universelle, après avoir été conçu par Fulgence Bienvenüe, pour relier la Porte Maillot à la Porte de Vincennes (ligne 1). Jusqu’en 1991, il existait un wagon de première classe au milieu du métro, qui coûtait plus cher mais qui offrait plus de confort. C’était le seul métro au monde a posséder un système de classes.
Mille marin ; Un mille marin correspond à 1852 mètres (1 minute d’arc terrestre mesuré à la latitude de l’équateur (40000/360*60)). Un noeud marin est une vitesse de 1 mille/h. 
Miner une crypto ; Miner une cryptomonnaie consiste à fournir un service au réseau de ladite monnaie en échange d'une récompense pécuniaire. Il s’agit souvent de vérifier la validité d'un ensemble de transactions. Les mineurs sélectionnent un ensemble de transactions à inclure dans un bloc, puis recherchent une solution à un problème mathématique en utilisant la fonction de hachage SHA-256, qui consiste à trouver un hachage inférieur à une cible spécifique. Une fois qu’un mineur trouve un bloc valide, il est alors ajouté au sommet de la chaîne et il est récompensé. Cela coûte beaucoup d’électricité, et il faut avoir des ordinateurs extrêmement puissants pour pouvoir vérifier un bloc avant les autres mineurs. C’est pourquoi les ordinateurs ASIC utilisés sont localisés dans les pays où l’électricité est très peu chère, comme la Chine, ou dans les pays froids pour économiser le prix de la climatisation. Une cryptomonnaie ne repose donc pas sur rien : sa valeur récompense l’action d’un ordinateur qui sécurise le réseau de la monnaie en question. 
Miroir des princes ; Les Miroirs des princes sont des traités d’éthique, de marche à suivre, de préceptes moraux spécifiquement destinés à éduquer les chefs d’état, au Moyen-Âge.  
Montres à quartz ; Montres à quartz : montre avec circuit électronique et pile qui distribue le courant. Quand le cristal de quartz est soumis à ce courant, il vibre de manière très rapide et très régulière. Grâce à cette fréquence, on calcule le temps qui s’écoule. Il peut alors y avoir un affichage analogique (aiguilles) ou numérique.
Montres mécaniques ; Montres mécaniques : plus chères que les montres à quartz car on recherche le savoir-faire. Il y a un moteur qui fournit l’énergie au mécanisme. Ce moteur est le ressort de barillet : il stocke l’énergie qu’on lui fournit lorsqu’on remonte la montre (ou qu’on agite le poignet en automatique, qui met en mouvement une masse oscillante), en se tendant. L’énergie est ensuite transmise par détente du ressort, grâce au rouage au couple balancier/spirale qui séquence le temps (le ressort spirale sert à ramener le balancier en sens inverse).
Diff entre moto et scooter ; Différence entre moto et scooter : un scooter est équipé d’une boîte de vitesse automatique, alors que sur une moto on doit gérer manuellement le passage des vitesses. Sur un scooter on a les deux pieds devant sous le guidon, et souvent un coffre (pratique pour un usage urbain, pas besoin de rétrograder dans le trafic dense et pratique pour faire des courses). Sur une moto on est assis à califourchon. 
Nil ; Le Nil mesure près de 6500 km de long. Il est issu de la rencontre du Nil blanc (qui prend sa source au lac Victoria, entre l’Ouganda, le Kenya et la Tanzanie), et du Nil bleu (qui prend sa source en Éthiopie), au niveau de Khartoum. C’est le deuxième fleuve le plus long du monde après l’Amazone, et devant le Yangtsé.
Le noeud gordien ; Le noeud gordien désigne une situation très compliquée, inextricable. Trancher le noeud gordien signifie résoudre ce problème de façon simple et expéditive. D’après la légende, il s’agit d’un noeud « sans commencement, ni fin apparente » écrit Plutarque, et un oracle dit que celui qui le dénouerait régnerait sur l’Asie. Alexandre le Grand, en -334, décida de le trancher plutôt que de le dénouer.
Bit ; Un bit est le plus petit élément en informatique : il peut prendre les valeurs 1 ou 0. Un octet est un ensemble de 8 bits, et presque tous les ordinateurs depuis les années 1970 travaillent sur les octets. Un octet peut donc représenter 2 puissance 8 ( soit 256 ) nombres, ce qui permet de couvrir tous les caractères existant. Le plus petit est 0 (00000000) et le plus grand 255 (11111111). L’octet ( francophone ) est généralement appelé Byte, donc un ko = 1 kB, 1 Mo = 1 MB...
Ouïghours ; Les Ouïghours sont un peuple turcophone et à majorité musulman sunnite habitant la région ouïghoure du Xinjiang en Chine du nord-ouest, où ils sont majoritaires. Ils seraient environ 12 millions en Chine. La Chine essaye de les réprimer pour empêcher la radicalisation islamiste. 
Ouranos ; Ouranos (Uranus chez les Romains) est le dieu du ciel. De son union avec Gaïa sont nés beaucoup de titans, dont le plus important est Cronos. Uranus renvoyait des enfants dans le sein de leur mère, à tel point que celle-ci, excédée, en arma un, Cronos, pour qu’il aille castrer son père. Les jets de sang d’Uranus, qui auraient atteint Gaïa, ont donné naissance aux Furies. Ouranos et Gaïa avertissent alors leur fils Cronos qu’il sera à son tour détrôné par son fils. Cela explique pourquoi il dévore tous ses enfants à leur naissance, jusqu’à ce que Rhéa, sa femme et sa sœur, décide de cacher un enfant en Crète. Cet enfant, Zeus, après avoir grandi, renverse son père et lui fait recracher ses frères et sœurs.
Panacée ; Panacée est une déesse grecque qui prodigue aux hommes des remèdes par les plantes.
Permis bâteaux ; Il y a 3 permis bâteau en France : le permis fluvial (permet de naviguer sur des fleuves, rivières, lacs), le permis côtier (qui permet de piloter un bateau en mer jusqu’à 6 milles d’un abri), et son extension le permis hauturier (qui permet de naviguer n’importe où)
Pétrole ; Le pétrole doit passer dans une raffinerie après avoir été extrait. On en tire de l’essence, du diesel, du bitume, des huiles, du naphta (pour fabriquer du plastique). Différence entre essence et diesel : l’essence est un mélange d’hydrocarbures légers (5 à 11 carbones) alors que le diesel est plus lourd (12 à 25 carbones). De plus, avec l’essence, le mélange air/carburant est enflammé par une bougie d’allumage. Avec le diesel, il n’y a pas besoin de bougie car il y a auto-allumage du carburant à cause des fortes pressions et températures dans les moteurs.
Phylloxéra ; Le phylloxéra est un puceron parasite qui ravage les vignes, venu des États-Unis au XIXe siècle. Après des années de grosses difficultés vers 1860, la solution proposée a été de greffer la vigne européenne sur des souches américaines, qui elles sont résistantes à l’insecte. Aujourd’hui, la quasi-totalité des vignes dans le monde sont implantés sur des souches américaines pour cette raison.
Pilote d'impression ; Un pilote d’impression est un logiciel sur ordinateur qui permet de traduire les ordres de l’ordinateur dans le langage de l’imprimante (le pilote dépend donc de la marque de l’imprimante)
Private equity ; Une private equity est une boîte qui investit dans le capital de sociétés non cotées à différents stades de leur développement. L’objectif est de dégager une plus-value au moment de la cession lorsque la société s’est bien développée. D’un point de vue des entreprises, c’est donc une source de financement. 
Prix Nobel ; Le prix Nobel a été instauré dès 1901, d’après les derniers vieux d’Alfred Nobel, inventeur de la dynamite. Les lauréats du prix Nobel reçoivent chacun un montant de 10 millions de couronnes suédoises (soit plus d'un million d'euros ), dont ils disposent librement, mais qui leur permet généralement de continuer leurs recherches ou travaux sans subir de pressions financières. Les prix Nobel sont attribués dans les domaines suivants : * Physique, * Chimie , * Physiologie ou médecine , * Littérature , * Paix , * Sciences économiques ( mis en place plus tardivement, en 1968 )
Processeur ; Le processeur (ou CPU) est le composant de l’ordinateur qui exécute les instructions, les programmes informatiques... C’est donc un circuit électronique qui effectue les opérations arithmétiques et logiques. Un microprocesseur est un processeur qui possède des composants électroniques suffisamment miniaturisés pour pouvoir tenir dans un seul circuit intégré. On les trouve donc plutôt dans les machines à format réduit. C’est en 1971 que la société Intel a réussi pour la première fois à placer tous les composants d’un processeur sur un circuit intégré, ce qui a permis d’augmenter les vitesses de fonctionnement, les coûts de production, de réduire la taille des machines... Ce premier microprocesseur commercialisé est nommé Intel 4004. Les cœurs d’un processeur permettent d’exécuter simultanément plusieurs tâches. Le standard est à 4 cœurs, mais les derniers CPU ont déjà 18 voire 64 cœurs. La puissance du processeur est caractérisée par le nombre d’instructions qu’il est capable de traiter par seconde, qui dépend de la fréquence d’horloge de l’ordinateur. Par exemple un ordinateur à 200 MHz possède une horloge envoyant 200 000 000 d’impulsions par seconde, grâce au cristal de quartz soumis à un courant électrique. Ensuite l’indicateur CPI (Cycles Par Instruction) représente le nombre moyen de cycles d’horloge nécessaire à l’exécution d’une instruction sur un microprocesseur. 
Robert Edwin Peary ; Robert Edwin Peary est un américain qui aurait atteint le premier le Pôle Nord, en 1909. Mais ce n’est pas totalement sûr à cause de l’absence de position durant les derniers kilomètres. 
Histoire de la peste ; Histoire de la peste : La peste est évoquée dans l’Ancien Testament comme un fléau envoyé par Dieu aux Hébreux. Le roi David est châtié par Dieu et doit faire le choix entre subir sept années de famine, trois mois de guerre, ou trois jours de peste : il choisit la peste. En -430, lors du conflit entre Sparte et Athènes, Thucydide évoque une épidémie infectieuse qui aurait ravagée Athènes. En 542, c’est la ville de Constantinople qui est marquée par la peste bubonique. Cependant, avant le Moyen-Age, les épidémies ne sont pas forcément de vraies pestes mais plutôt des maladies comme la grippe ou la variole. En effet on n’est jamais sûr car on ne peut pas identifier parfaitement la bacille responsable de la peste à chaque fois. A la fin du Moyen-Age, c’est la peste noire qui est le cas le plus connu : entre 1347 et 1352, cette maladie a tué près d’un tiers des européens ( notamment 7 millions en France sur les 17 millions d’habitants ). Jusqu’au XVIIIe siècle, il y a régulièrement des épisodes de peste, comme à Toulouse en 1628-1633, à Marseille en 1720, ou encore en 1799 lorsque l’armée de Napoleon est décimée par la peste lors de la prise de Jaffa ( en actuelle Israël ). La dernière pandémie majeure est celle provenant de la fin du XIXe siècle depuis l’Asie centrale. Elle atteint l’ensemble de l’Asie, le golfe persique, la mer Rouge, et touche la France avec Marseille ( 1902 ) et Paris ( 1920 ).
Pont Neuf ; Le Pont Neuf est le plus ancien pont de Paris, construit entre le XVI et le XVIIe siècle. Il traverse la Seine à la pointe Ouest de l’île de la Cité. Son nom vient du fait que c’était nouveau à l’époque de construire un pont dénué d’habitations.
Prohibition ; Édictée par le 18e amendement de la Constitution américaine, la prohibition aux États-Unis signe l'interdiction de fabriquer, transporter, importer, exporter et vendre de l'alcool. Mise en place le 29 janvier 1919, cette mesure avait pour objectif de réduire les délits et la corruption. Elle prend fin en 1933, lorsque Roosevelt est élu président, car la prohibition avait finalement eu l’effet inverse de celui recherché. Cela avait multiplié les transports illégaux d’alcool.
Puissance de calcul ; Pourquoi l’évolution de la puissance de calcul est due à l’augmentation du nombre de transistors, et à leur miniaturisation ? Il faut raisonner en fonction du temps pris par un programme pour exécuter ses instructions, qu'on notera T. Celui-ci dépend du nombre moyen N d'instructions exécutées par notre programme, du nombre moyen de cycles d'horloge nécessaires pour exécuter une instruction, qu'on notera CPI (ce qui est l'abréviation de Cycle Per Instruction), et de la durée P d'un cycle d'horloge. On a alors T = N×CPI×P, ou alors T = N×CPI/F, avec F la fréquence d’horloge. Donc pour diminuer T, il faut augmenter F, ou diminuer N et CPI. On essaye alors d’agir sur la fréquence. Diminuer la taille des transistors permet de les rendre plus rapides. C'est un scientifique du nom de Robert Dennard qui a découvert un moyen de rendre un transistor plus rapide en diminuant certains de ses paramètres physiques. De plus, la vitesse de transmission des bits dans les fils d'interconnexions est proportionnelle à leur longueur : plus ces fils seront courts, plus la transmission sera rapide. Donc on a deux effets positif de la miniaturisation sur la fréquence. Donc d’après la seconde loi de Moore, comme le nombre de transistors double tous les deux ans, on peut croire que la fréquence est multipliée par 2 tous les 2 ans. En réalité, les transistors et les fils sont réunis sur une surface, donc une diminution par 2 de la surface signifie division par √2 des côtés de cette surface. Donc tous les deux ans, on a théoriquement environ 40% de performance en plus, si on ne modifie que la taille des transistors. De plus, la loi de Pollack dit aussi que l’augmentation de performances est approximativement proportionnelle à la racine carrée du nombre de transistors ajoutés : si on double le nombre de transistors, la performance est multipliée par √2. Donc tous les 2 ans, on aurait une augmentation théorique de performance de 80% au total, en prenant en compte à la fois la diminution du nombre de transistors et l’augmentation de leur nombre. On peut aussi chercher à diminuer le CPI pour diminuer T. Pour cela on met par exemple plusieurs cœurs dans les processeurs, ce qui permet d’effectuer plusieurs instructions simultanément.
Romain Gary ; Romain Gary est le seul écrivain à avoir remporté deux fois le prix Goncourt. Il l’obtient en 1956 pour les Racines du Ciel et en 1975 pour La Vie devant soi sous le nom d’Emile Ajar.
Rondo ; Le rondo est une forme musicale basée sur l’alternance d’un refrain et de couplets : ABACADA, où A désigne le refrain et B,C,D des couplets. Le troisième mouvement d’un concerto classique était obligatoirement un rondo. 
Safran ; Le safran est la partie immergée verticale du gouvernail d’un bateau. Il sert à dévier le flux d’eau sous la coque pour faciliter la maniabilité du navire.
Sang ; Concernant les dons de sang, O- est donneur universel et AB+ est receveur universel.
Sardanapale ; Sardanapale est le dernier souverain (mythique) assyrien, vivant au VIIe siecle avant J.C. C’est un exemple didactique de paresse, de luxe effréné et de vie dissolue, menant à la chute de l’empire assyrien
Saturnisme ; Le saturnisme est la maladie d’intoxication par le plomb. Même à faible dose, le plomb est toxique pour les cellules. Le nom vient de la planète Saturne, symbole du plomb en alchimie.
Scandale de Panama ; Scandale de Panama : Ferdinand de Lesseps est choisi pour construire la canal de Panama en 1879, et fonde une société anonyme avec des actions pour se financer. Les travaux sont plus difficiles (relief, maladies qui tuent les ouvriers) et plus coûteux que prévus. Lesseps utilise une partie des fonds pour acheter des journalistes et des ministres, pour cacher les difficultés et conserver un bon investissement, et surtout pour obtenir le vote de nouvelles lois permettant l’émission d’un emprunt. La compagnie est mise en liquidation judiciaire (quand une entreprise n’est plus capable d’honorer ses créances, et que son rétablissement paraît impossible) en 1889, provoquant la ruine de 85000 actionnaires.
Séparation de corps ; Après avoir fait une séparation de corps (mettre fin à l’obligation de vie commune des époux, sans mettre fin aux liens du mariage), il faut attendre un an avant de pouvoir enclencher le divorce. 
Serveur DNS ; Un serveur DNS est une sorte d’annuaire pour ordinateur. Il sert à convertir un nom de domaine en adresse IP. Lorsqu’on veut accéder à des informations en ligne, l’ordinateur interroge le serveur DNS pour obtenir l’adresse du destinataire, et pour pouvoir le joindre ensuite avec l’adresse IP. Une fois qu’il l’a joint, le serveur http envoie en réponse la page recherchée. Chez nous, le serveur DNS est notre box. Si elle ne sait pas répondre à une requête, elle demande aux serveurs parents : ceux du fournisseur d’accès, et cela peut remonter jusqu’aux serveurs de base du système. 
Bataille de Solférino ; La bataille de Solférino (1859) oppose la France et le Piémont-Sardaigne à l’Autriche. La France avait promis d’aider l’empereur Victor Emmanuel II pour l’unité de l’Italie, en échange de la Savoie et de Nice. Henri Dunant, suite aux horreurs de cette bataille, fondera La Croix Rouge.
Os du squelette humain ; Il y a 206 os constants dans un squelette adulte. Le plus petit est l’étrier et le plus grand le fémur. Selon les individus, il existe un nombre variable d’os surnuméraires, notamment dans les mains et les pieds. 
Stère ; Un stère est l’unité de mesure du volume du bois. La définition officielle, le stère équivaut à 1 mètre cube de bois coupé en sections de 1m. Mais si les bûches sont plus petites, un stère va en réalité paraître plus petit qu’un mètre cube car les petits rondins vont remplir l’espace de manière plus optimale.
Robert Louis Stevenson ; Robert Louis Stevenson est un écrivain écossais né en 1850 et mort en 1894. C’est un grand voyageur, célèbre notamment pour ses romans, comme L’île au trésor et L’étrange cas du docteur Jekyll et de M.Hyde, et pour son récit Voyage avec un âne dans les Cévennes.
Tables de Ptolémée ; Les tables de Ptolémée ( savant grec qui vivait en Égypte au IIème siècle après JC ) servaient à mesurer le déplacement des astres. Elles permettaient donc de prévoir la date des éclipses. 
Quentin Tarantino ; Quentin Tarantino est un réalisateur américain dont les films les plus connus sont Pulp Fiction, Once upon a time in Hollywood, Inglourious Basterds. Ses films s’ancrent souvent dans l’histoire, mais il modifie l’issue de l’histoire pour imaginer ce qui pourrait alors se passer.
Taux d'intérêts ; Les taux d’intérêts sur les livrets sont calculés par quinzaine de jours. Puis ils sont ajoutés au compte le 1er janvier. Pour le livret A, on a un taux d’intérêt annuel de 3%, ce qui signifie que le taux d’intérêt par quinzaine est à peu près de 0,125%. (exp(ln(1,03)/24)). Donc si on a 5000€ sur le livret, et qu’on met 1000€ le 5 décembre, on gagne les taux d’intérêts que pour une quinzaine (15-31 décembre). On gagne 6,25€ d’intérêt sur la première quinzaine puis 7,50€ sur la deuxième quinzaine. 
Téléphonie mobile ; Le téléphone mobile permet de transformer la voix en champs de radiofréquences (ondes radio) et les antennes-relais réceptionnent le signal électromagnétique (ondes radios) pour en faire un signal électrique. Ce signal peut alors circuler dans des câbles ou, après une seconde conversion, dans des fibres optiques (réseaux 4G). On parle de téléphonie cellulaire parce que chaque antenne couvre une portion de territoire, constituant une cellule.
Vendredi 13 octobre 1307 ; Le vendredi 13 octobre 1307, le roi Philippe le Bel fait arrêter les membres de l’ordre du Temple (Templiers) dont Jacques de Molay, leur grand-maître, et les fait torturer afin qu'ils avouent des crimes qu'ils assurent ne pas avoir commis ; ceux qui reviennent sur leurs affirmations sont condamnés au bûcher. L'ordre du Temple est ainsi dissous, laissant tout le pouvoir au roi. En réalité, l’ordre du Temple possédait un immense trésor que convoitait Philippe le Bel, car les finances de la France étaient au plus bas. Ainsi, en accusant les Templiers pour provoquer la dissolution de l’ordre, il pourrait récupérer le trésor. C’est en parti de là que vient la superstition autour du vendredi 13. La phobie de ce jour est appelée la paraskevidékatriaphobie.
Tequila ; La tequila est un alcool produite au Mexique à partir d’une plante nommée l’agave bleue. Pour porter le nom « tequila », elle doit avoir été produite au Mexique dans l’état de Jalisco.
Téthys ; Téthys est une divinité romaine marine, fille d’Ouranos (le Ciel) et de Gaia (la Terre), épouse d’Ocean et mère des fleuves. Son nom est très utilisé par les poètes latins, ainsi que par La Fontaine ou Chénier, pour personnifier la mer. A ne pas confondre avec Thétis, qui est la mère d’Achille. 
Théâtre ; Au théâtre, on appelle côté cour le côté droit de la scène, vu de la salle, et côté jardin le côté gauche de la scène, vu de la salle. Ces mots viennent d'une habitude prise à la Comédie Française, à l'époque où, à partir de 1770, la troupe était installée dans la salle des Machines du palais des Tuileries : la salle donnait effectivement d'un côté sur la cour du Louvre, et de l'autre sur le jardin des Tuileries.
Thaïlande ; La Thaïlande est une monarchie constitutionnelle depuis 1932 (suite à un coup d’état qui a mis fin à des siècles de monarchie absolutiste), et un des seuls pays asiatiques à n’avoir jamais été occupé par une puissance étrangère.  
Thérémine ; Le thérémine est un instrument de musique qui se joue « dans le vide », grâce à deux antennes qui créent des champs électromagnétiques distincts. L’antenne droite est responsable de la hauteur du son, et l’antenne gauche en boucle est responsable du volume. 
Ultracrepidarianisme ; L'ultracrepidarianisme est le comportement qui consiste à donner son avis sur des sujets sur lesquels on n’a pas de compétence crédible ou démontrée.
Ultramontanisme ; L’ultramontanisme est un courant religieux qui affirme la primauté du Pape et son infaillibilité qu’une doctrine doit être par toute l’Eglise. Les ultramontains sont donc opposés aux gallicans en France.
Ursula Andress ; Ursula Andress est l’actrice qui a joué la première James Bond Girl de l’histoire, dans James Bond contre Dr No en 1962. La scène où elle sort de l’eau en bikini est devenue mythique. 
Vache folle ; La crise de la vache folle est une crise sanitaire vers 1990 devenue socio-économique car a grandement affecté la consommation de viande bovine, et a permis au public de découvrir ce qui se passait dans les élevages (vaches nourries avec des compléments alimentaires…). Elle a touché 200000 vaches au Royaume-Uni (très peu dans le reste du monde).
Vaudeville ; Le vaudeville (ou théâtre de boulevard) est un type de comédie à la mode au XIXème siècle. C'est une comédie légère qui comporte généralement de nombreux rebondissements et qui repose sur des malentendus (quiproquos). Les grands vaudevillistes sont Alfred Hennequin ou Georges Feydeau. 
Fabrication du verre ; Fabrication du verre : 70% de sable, puis ajout de carbonate de sodium et d’oxyde de calcium pour réduire la température de fusion et empêcher l’eau de passer à travers le verre. Chauffage à 1500 degrés pour la fusion (sans les additifs, ce serait plus de 2000 degrés). Une fois fondu, avant son refroidissement, mise en forme du verre. Puis recuisson ou trempe pour le rendre plus résistant. 
Verres de montre ; Verres de montre : verre acrylique (le moins cher, peu résistant aux rayures), verre minéral (le plus courant : résistant aux rayures, mais fragile), et verre saphir (inrayable, résistant : oxyde d’aluminium cristallisé à très haute température, qui comporte les mêmes propriétés que le saphir).
Secte du vieux de la montagne ; La secte du vieux de la montagne est la secte des Assassins, dirigé par Hassan ibn al-Sabbah (1034-1124), puis par ses successeurs. Ils sont appelés Haschichins à cause de leur consommation de Haschich. Selon les témoignages de Marco Polo (1323) et de nombreux historiens persans, les Haschischins vivaient dans la forteresse d’Alamut, à 1800 mètres d’altitude au sud de la mer Caspienne, dans l’Iran actuel. Afin de contrôler toute la région, le vieux de la montagne envoyait des commandos-suicides pour tuer les sultans ennemis. Ceux désignés pour commettre les meurtres étaient anesthésiés avec du haschich, qui est une drogue soporifique et non pas excitante. Assoupis, ils étaient transportés dans un jardin secret, au fond de la forteresse d’Alamut. A leur réveil, ils s’y retrouvaient environnés de jeunes esclaves empressés à réaliser tous leurs désirs sexuels. Ils étaient arrivés en guenilles, et se découvraient en robe de soie verte rehaussée de fils d’or et, tout autour, c’était le Paradis: drogue, sexe, alcool, luxe et volupté. Ils étaient convaincus d’être dans les jardins d’Allah, d’autant plus que ce lieu était une oasis particulièrement rare en une région aride et montagneuse. Quand ils se réassoupissaient et se réveillaient, le Vieux de la Montagne leur déclarait alors que, grâce à ses pouvoirs, ils avaient eu la chance de goûter furtivement au Paradis d’Allah. Ainsi, si ils voulaient pouvoir en profiter pour l’éternité, ils devaient être prêt à sacrifier leur vie pour obéir aux ordres. Les assassins étaient alors prêts à tout pour exécuter les ordres du vieux de la montagne, ce qui expliquait leur obéissance à n’importe quel type d’ordres. 
Wagner ; Wagner est un compositeur romantique du XIXe siècle, enterré à Bayreuth. Le vaisseau fantôme (histoire du Hollandais volant, condamné à errer sur les mers et à ne revenir sur terre que tous les 7 ans, jusqu’à ce qu’une femme jure entièrement fidélité au capitaine) est l’opéra qui le rend connu. Puis il compose des opéras célèbres comme Tristan et Isolde (inspiré du mythe de Tristan et Iseult, avec la voile noire et la voile blanche) et l’Anneau du Nibelung (appelée la Tétralogie : L’or du Rhin, La Walkyrie, Siegfried, Le crépuscule des dieux). En fin de vie il écrira Parsifal (sauveur du Graal).
Prix yachts ; Prix yachts : aux alentours de 70m, un yacht coûte 1 million par mètre. En dessous, c’est moins d’1M. Au-dessus, c’est plus. Typiquement, 25m coûte 5M d’euros, 50m coûte 25M d’euros, et 100m coûte facilement 200M d’euros, et 1 milliards dès qu’il est un peu particulier.
Zoroastrisme ; Le zoroastrisme est une religion monothéiste (centrée sur la divinité Ahura Mazda), apparue au IIème ou au Ier millénaire av. J.-C. La période de gloire du zoroastrisme commence avec l'avènement de la dynastie des Sassanides en Perse (224-651, date à laquelle l’empire perse est envahi par les musulmans) car il devient alors officiellement la religion d'État.
